"track_name","Artist","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","X.","Popularity","BPM","Genres","Parent.Genres","Album","Album.Date","Time","Dance","Energy","Acoustic","Instrumental","Happy","Speech","Live","Loud","Key","Time.Signature","Added.At","Spotify.Track.Id","Album.Label","Camelot","Spotify.Track.Img","Song.Preview","popularity","average_charting"
"I Love You So","The Walters",1,2014,11,28,7536,7,"972164968",44,19,"135",0,"6",76,"A#","Major",58,46,67,65,0,13,4,"40","88","76","chicago indie, pov: indie","Rock, Pop","I Love You So","2014-11-28","02:40","57","65","58","0","47","0","10","-5","A#/B♭ Major","4","2023-08-14","4SqWKzw0CbA05TGszDgMlc","Warner Records","6B","https://p.scdn.co/mp3-preview/83919b3d62a4ae352229c0a779e8aa0c1b2f4f40?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048519214ff0109a0e062f8a6cf0f","Moderate Popularity",9
"The Hills","The Weeknd",1,2015,5,27,25744,4,"1947371785",122,94,"1,992",0,"18",136,"","Minor",36,12,57,9,0,14,8,"462","88","113","canadian contemporary r&b, canadian pop, pop","R&B, Pop","Beauty Behind The Madness","2015-08-28","04:02","59","56","7","0","14","0","10","-7","C Minor","4","2023-08-14","7fBv7CLKzipRk6EC6TWHOB","Universal Republic Records","5A","","https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b","Low Popularity",33
"Numb","Linkin Park",1,2003,3,24,20111,5,"1361425037",39,0,"7,341",0,"0",110,"A","Major",50,24,86,0,0,64,4,"1169","87","110","alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","Meteora","2003-03-24","03:05","50","86","0","0","24","0","60","-4","A Major","4","2023-08-14","2nLtzopw4rPReszdYBJU6h","Warner Records","11B","https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851b4ad7ebaf4575f120eb3f193","Low Popularity",2
"About Damn Time","Lizzo",1,2022,7,15,2332,2,"723894473",0,0,"25",0,"0",109,"A#","Minor",84,72,74,10,0,34,7,"34","80","109","escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B","About Damn Time","2022-04-14","03:11","84","74","10","0","72","0","30","-6","A#/B♭ Minor","4","2023-08-14","1PckUlxKqWQs3RlWXVBLw3","Nice Life/Atlantic","3A","https://p.scdn.co/mp3-preview/bbf8a26d38f7d8c7191dd64bd7c21a4cec8b61a0?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851b817e721691aff3d67f26c04","Moderate Popularity",1
"Moscow Mule","Bad Bunny",1,2022,5,6,4572,33,"909001996",74,113,"85",9,"2",100,"F","Minor",80,29,67,29,0,12,3,"16","86","100","reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti","2022-05-06","04:05","80","67","29","0","29","0","10","-5","F Minor","4","2023-08-14","6Xom58OOXk2SoU711L2IXO","Rimas Entertainment LLC","4A","https://p.scdn.co/mp3-preview/77b12f38abcff65705166d67b5657f70cd890635?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72","Moderate Popularity",52
"Don't Start Now","Dua Lipa",1,2019,10,31,27119,0,"2303033973",532,77,"1,535",3,"8",124,"B","Minor",79,68,79,1,0,10,8,"54","84","124","dance pop, pop, uk pop","Pop","Future Nostalgia","2020-03-27","03:03","79","79","1","0","68","0","10","-5","B Minor","4","2023-08-14","3PfIrDoz19wz7qK7tYeu62","Warner Records","10A","https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946","Moderate Popularity",27
"Don't Start Now","Dua Lipa",1,2019,10,31,27119,0,"2303033973",532,77,"1,535",3,"8",124,"B","Minor",79,68,79,1,0,10,8,"118","79","124","dance pop, pop, uk pop","Pop","Don't Start Now","2019-10-31","03:03","79","79","1","0","68","0","10","-5","B Minor","4","2023-08-14","6WrI0LAC5M1Rw2MnX2ZvEg","Warner Records","10A","https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048518583df1a14bea9175f9ac520","Moderate Popularity",27
"Yonaguni","Bad Bunny",1,2021,6,4,9644,28,"1260594497",120,86,"164",4,"0",180,"C#","Major",64,44,65,28,0,14,12,"49","84","180","reggaeton, trap latino, urbano latino","Latin","Yonaguni","2021-06-04","03:26","64","65","28","0","44","10","10","-5","C♯/D♭ Major","4","2023-08-14","2JPLbjOn0wPCngEot2STUS","Rimas Entertainment LLC","3B","https://p.scdn.co/mp3-preview/cbade9b0e669565ac8c7c07490f961e4c471b9ee?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485164afd6879102d03460bd3ad9","Low Popularity",39
"Running Up That Hill (A Deal With God)","Kate Bush",1,1985,9,16,21811,0,"1024858327",117,1,"676",3,"0",108,"A#","Minor",63,20,55,72,0,6,6,"10","86","108","art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter","Pop, Rock, Folk/Acoustic","Hounds Of Love","1985-09-16","04:58","63","55","72","0","19","0","0","-13","A#/B♭ Minor","4","2023-08-14","1PtQJZVZIdWIYdARpZRDFO","Fish People","3A","https://p.scdn.co/mp3-preview/861d26b52ece3e3ad72a7dc3463daece3478801a?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851ad08f4b38efbff0c0da0f252","Low Popularity",1
"Bad Habits","Ed Sheeran",1,2020,9,3,12755,8,"1555511105",344,97,"945",15,"",126,"B","Minor",81,59,90,5,0,36,3,"30","86","126","pop, singer-songwriter pop, uk pop","Pop","=","2021-10-29","03:50","81","89","5","0","54","0","30","-4","B Minor","4","2023-08-14","3rmo8F54jFF8OgYsqTxm5d","Atlantic Records UK","10A","https://p.scdn.co/mp3-preview/22f3a86c8a83e364db595007f9ac1d666596a335?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851ef24c3fdbf856340d55cfeb2","Low Popularity",40
"Woman","Doja Cat",1,2021,6,25,9424,0,"1329090101",202,50,"463",4,"",108,"F","Minor",82,88,76,9,0,12,9,"20","86","108","dance pop, pop","Pop","Planet Her","2021-06-25","02:52","82","76","9","0","88","0","10","-4","F Minor","4","2023-08-14","6Uj1ctrBOjOas8xZXGqKk4","Kemosabe Records/RCA Records","4A","https://p.scdn.co/mp3-preview/2ae0b61e45d9a5d6454a3e5ab75f8628dd89aa85?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048517acacbc45d78f1fb58cb6a4b","Low Popularity",18
"Pepas","Farruko",1,2021,6,24,14114,17,"1309887447",252,109,"965",20,"",130,"G","Major",76,44,77,1,0,13,3,"31","85","130","reggaeton, trap latino, urbano latino","Latin","Pepas","2021-06-24","04:47","76","77","1","0","44","0","10","-4","G Major","4","2023-08-14","5fwSHlTEWpluwOM0Sxnh5k","Sony Music Latin","9B","https://p.scdn.co/mp3-preview/d34fb702d404e62f9816de0af525a7e2786a2c00?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048514239a6aa89738d8f798168ad","Low Popularity",49
"Infinity","Jaymes Young",1,2017,6,23,4375,0,"888046992",24,0,"396",0,"0",122,"B","Minor",67,50,67,15,0,30,4,"41","83","122","indie poptimism","Pop","Feel Something","2017-06-23","03:57","67","67","15","0","49","0","30","-7","B Minor","4","2023-08-14","1SOClUWhOi8vHZYMz3GluK","Atlantic Records","10A","https://p.scdn.co/mp3-preview/2b30f2512af94d45733f5535ac48caa3b541c7f1?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851a9897f65d1ead1be10a51e3f","Moderate Popularity",0
"good 4 u","Olivia Rodrigo",1,2021,5,14,15563,6,"1887039593",259,55,"461",1,"",166,"F#","Minor",56,68,66,28,0,11,18,"32","87","167","pop","Pop","SOUR","2021-05-21","02:58","56","66","34","0","69","10","0","-5","A Major","4","2023-08-14","4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo PS","11B","","https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a","Low Popularity",21
"THATS WHAT I WANT","Lil Nas X",1,2021,9,17,7963,0,"920797189",173,7,"298",0,"4",88,"C#","Minor",74,55,85,1,0,5,22,"35","84","88","lgbtq+ hip hop","Hip Hop","MONTERO","2021-09-17","02:23","74","85","1","0","55","20","0","-5","C♯/D♭ Minor","4","2023-08-14","0e8nrvls4Qqv5Rfa2UhqmO","Columbia","12A","https://p.scdn.co/mp3-preview/f6958f897e3817fcbb6647d62f66c71ee96d1981?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851be82673b5f79d9658ec0a9fd","Moderate Popularity",2
"Dynamite","BTS",1,2020,8,21,8528,5,"1692897992",239,163,"583",0,"",114,"F#","Minor",75,74,77,1,0,9,10,"81","83","114","k-pop, k-pop boy group, pop","Pop","BE","2020-11-20","03:19","75","77","1","0","74","10","0","-4","F#/G♭ Minor","4","2023-08-14","5QDLhrAOJJdNAmCTJ8xMyW","BIGHIT MUSIC","11A","https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851c07d5d2fdc02ae252fcd07e5","Low Popularity",56
"Daddy Issues","The Neighbourhood",1,2015,10,30,9771,4,"1127468248",42,70,"384",0,"3",85,"A#","Major",59,33,52,7,15,12,3,"460","86","85","modern alternative rock, modern rock, pop","Rock, Pop","Wiped Out!","2015-10-30","04:20","59","52","7","15","34","0","10","-9","A#/B♭ Major","4","2023-08-14","5E30LdtzQTGqRvNd7l6kG5","Columbia","6B","https://p.scdn.co/mp3-preview/d79918fba2888bf825a5edc938ce1f79ed12ff7b?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048513066581d697fbdee4303d685","Low Popularity",25
"Before You Go","Lewis Capaldi",1,2019,11,1,8327,24,"1608045237",205,130,"625",0,"25",112,"D#","Major",45,19,60,63,0,9,6,"65","86","112","pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent (Extended Edition)","2019-11-22","03:35","46","57","60","0","18","0","0","-5","D#/E♭ Major","4","2023-08-14","2gMXnyrvIjhVBUZwvLZDMP","Vertigo Berlin","5B","","https://i.scdn.co/image/ab67616d000048517b9639babbe96e25071ec1d4","Low Popularity",51
"Rolling in the Deep","Adele",1,2010,11,29,35684,6,"1472799873",195,125,"6,280",2,"78",105,"G#","Major",73,52,76,13,0,5,3,"722","83","105","british soul, pop, pop soul, uk pop","R&B, Pop","21","2011-01-24","03:48","73","77","14","0","51","0","0","-5","G#/A♭ Major","4","2023-08-14","4OSBTYWVwsQhGLF9NHvIbR","XL Recordings","4B","https://p.scdn.co/mp3-preview/d2d7e717c72a4fa08b3a8b22722c7369e8aa587d?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851164feb363334f93b6458d2a9","Low Popularity",44
"Bored","Billie Eilish",1,2017,3,30,4204,0,"777765388",39,45,"250",0,"0",120,"G","Major",60,11,33,90,0,8,5,"373","84","120","art pop, electropop, pop","Pop","Bored","2017-03-30","03:00","61","32","90","0","11","0","0","-13","G Major","4","2023-08-14","04sN26COy28wTXYj3dMoiZ","Darkroom","9B","","https://i.scdn.co/image/ab67616d00004851e0f2af91be409aad81bba98c","Moderate Popularity",15
"The Nights","Avicii",1,2014,1,1,17354,8,"1456081449",92,122,"1,282",0,"55",126,"F#","Major",53,66,85,2,0,24,4,"450","88","126","edm, pop, pop dance","Electronic, Pop","The Days / Nights","2014-01-01","02:56","53","84","2","0","65","0","20","-5","F#/G♭ Major","4","2023-08-14","0ct6r3EGTcMLPtrXHDvVjc","Universal Music AB","2B","","https://i.scdn.co/image/ab67616d000048510ae4f4d42e4a09f3a29f64ad","Low Popularity",43
"Lucid Dreams","Juice WRLD",1,2017,6,15,14749,0,"2288695111",188,34,"710",0,"5",84,"B","Minor",44,22,48,38,0,33,24,"94","86","84","chicago rap, melodic rap, rap","Hip Hop","Goodbye & Good Riddance","2018-12-10","03:59","51","57","35","0","22","20","30","-7","F#/G♭ Minor","4","2023-08-14","285pBltuF7vW8TeWk8hdRR","Juice WRLD Mixtape / ISR P&D","11A","","https://i.scdn.co/image/ab67616d00004851f7db43292a6a99b21b51d5b4","Moderate Popularity",11
"All of Me","John Legend",1,2013,8,1,27221,0,"2086124197",308,118,"4,534",2,"77",120,"G#","Major",42,33,26,92,0,13,3,"589","87","120","neo soul, pop, pop soul, urban contemporary","R&B, Pop, Hip Hop","Love In The Future (Expanded Edition)","2013-08-30","04:29","42","26","92","0","33","0","10","-7","G#/A♭ Major","4","2023-08-14","3U4isOIWM3VvDubwSI3y7a","G.O.O.D. Music/Columbia","4B","https://p.scdn.co/mp3-preview/29f542e5e8b4b6bb7e4e71a52bc3ff35b6b962ad?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485194c9217a398f5174757c0c78","Moderate Popularity",40
"Mr. Brightside","The Killers",1,2003,9,23,51979,15,"1806617704",306,99,"5,063",2,"120",148,"C#","Major",35,24,93,0,0,10,8,"1166","87","148","alternative rock, dance rock, modern rock, permanent wave, rock","Rock","Hot Fuss","2004","03:42","35","91","0","0","24","0","10","-5","C♯/D♭ Major","4","2023-08-14","003vvx7Niy0yvhvHt4a68B","Island Records","3B","","https://i.scdn.co/image/ab67616d00004851ccdddd46119a4ff53eaf1f5d","Low Popularity",39
"Memories","Maroon 5",1,2019,9,20,9974,2,"1759567999",272,67,"1,066",1,"19",91,"B","Major",77,60,32,84,0,8,5,"67","86","91","pop","Pop","JORDI (Deluxe)","2021-06-11","03:09","78","33","84","0","60","0","0","-7","B Major","4","2023-08-14","4cktbXiXOapiLBMprHFErI","Interscope Records*","1B","","https://i.scdn.co/image/ab67616d0000485186a8ab515de4b7aef28cd631","Low Popularity",23
"In Da Club","50 Cent",1,2002,1,1,30427,7,"1202722675",235,106,"5,221",1,"35",90,"F#","Minor",90,79,71,26,0,7,37,"1254","84","90","east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","Hip Hop","Get Rich Or Die Tryin'","2003-02-06","03:13","90","71","26","0","78","30","0","-3","F#/G♭ Minor","4","2023-08-14","7iL6o9tox1zgHpKUfh9vuC","Shady Records","11A","","https://i.scdn.co/image/ab67616d00004851d843fabb75fef14010e30cae","Low Popularity",38
"HUMBLE.","Kendrick Lamar",1,2017,3,30,33206,1,"1929770265",284,114,"1,481",0,"5",150,"C#","Minor",91,42,60,0,0,9,12,"350","86","150","conscious hip hop, hip hop, rap, west coast rap","Hip Hop","DAMN.","2017-04-14","02:57","91","62","0","0","42","10","10","-7","C♯/D♭ Minor","4","2023-08-14","7KXjTSCq5nL1LoYtL7XAwS","Aftermath","12A","","https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699","Low Popularity",38
"Adore You","Harry Styles",1,2019,12,6,13454,1,"1439191367",246,71,"519",2,"5",99,"G#","Major",68,57,77,2,0,10,5,"70","86","99","pop","Pop","Fine Line","2019-12-13","03:27","68","77","2","0","57","0","10","-4","G#/A♭ Major","4","2023-08-14","3jjujdWJ72nww5eGnfs2E7","Columbia","4B","https://p.scdn.co/mp3-preview/a42d5e9f6f5c3375db9723bb2356239351eead31?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485177fdcfda6535601aff081b6a","Low Popularity",25
"Bohemian Rhapsody - Remastered 2011","Queen",1,1975,10,31,40112,3,"2197010679",321,162,"5,691",8,"17",71,"","Minor",41,23,40,27,0,30,5,"103","83","71","classic rock, glam rock, rock","Rock","A Night At The Opera (2011 Remaster)","1975-11-21","05:54","41","40","27","0","22","0","30","-10","C Minor","4","2023-08-14","4u7EnebtmKWzUH433cf5Qv","EMI","5A","","https://i.scdn.co/image/ab67616d00004851e319baafd16e84f0408af2a0","Moderate Popularity",58
"First Class","Jack Harlow",1,2022,4,8,8737,0,"694525298",163,32,"137",15,"12",107,"G#","Major",91,32,56,3,0,11,10,"26","82","107","deep underground hip hop, kentucky hip hop, pop rap, rap","Hip Hop","Come Home The Kids Miss You","2022-05-06","02:53","90","58","11","0","33","10","10","-6","F Minor","4","2023-08-14","0wHFktze2PHC5jDt3B17DC","Generation Now/Atlantic","4A","https://p.scdn.co/mp3-preview/c05a687254dbdf50a9ab4879d85e54a7594e367f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048518e55edb69ca44a25b52b17bb","Moderate Popularity",16
"Cool for the Summer","Demi Lovato",1,2015,1,1,9243,0,"677389855",155,5,"577",0,"6",114,"F","Minor",59,30,62,1,0,8,4,"438","80","114","pop, post-teen pop","Pop","Confident","2015-01-01","03:34","58","61","0","0","34","0","10","-6","F Minor","4","2023-08-14","3uwnnTQcHM1rDqSfA4gQNz","Hollywood Records","4A","","https://i.scdn.co/image/ab67616d00004851ed164cf1c10f028e8f528784","Moderate Popularity",2
"There's Nothing Holdin' Me Back","Shawn Mendes",1,2016,9,23,12382,0,"1714490998",229,57,"1,370",2,"71",122,"D","Major",86,97,80,36,0,9,6,"370","88","122","canadian pop, pop, viral pop","Pop","Illuminate (Deluxe)","2017-04-20","03:19","87","81","38","0","97","0","0","-4","B Minor","4","2023-08-14","7JJmb5XwzOO8jgpou264Ml","Island Records","10A","","https://i.scdn.co/image/ab67616d00004851ea3ef7697cfd5705b8f47521","Low Popularity",20
"Photograph","Ed Sheeran",1,2014,6,20,18778,3,"2236667932",228,105,"2,453",0,"84",108,"E","Major",61,20,38,61,0,10,5,"595","87","108","pop, singer-songwriter pop, uk pop","Pop","x (Deluxe Edition)","2014-06-21","04:18","61","38","61","0","20","0","10","-10","E Major","4","2023-08-14","1HNkqx9Ahdgi1Ixy2xkKkL","Atlantic Records UK","12B","https://p.scdn.co/mp3-preview/d90f4e5f15d8ed411307945560b1db8cca6b253b?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485113b3e37318a0c247b550bccd","Moderate Popularity",36
"Love Yourself","Justin Bieber",1,2015,11,9,22730,5,"2123309722",289,87,"2,430",0,"36",100,"E","Major",61,53,38,84,0,28,44,"387","86","100","canadian pop, pop","Pop","Purpose (Deluxe)","2015-11-13","03:53","61","38","84","0","52","40","20","-10","E Major","4","2023-08-14","50kpGaPAhYJ3sGmk6vplg0","RBMG/Def Jam","12B","","https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de","Moderate Popularity",31
"About Damn Time","Lizzo",1,2022,4,14,9021,0,"723894473",242,49,"272",21,"24",109,"A#","Minor",84,72,74,10,0,34,7,"34","80","109","escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B","About Damn Time","2022-04-14","03:11","84","74","10","0","72","0","30","-6","A#/B♭ Minor","4","2023-08-14","1PckUlxKqWQs3RlWXVBLw3","Nice Life/Atlantic","3A","https://p.scdn.co/mp3-preview/bbf8a26d38f7d8c7191dd64bd7c21a4cec8b61a0?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851b817e721691aff3d67f26c04","Moderate Popularity",23
"Iris","The Goo Goo Dolls",1,1998,3,31,13101,9,"1284942608",137,5,"582",0,"0",156,"B","Minor",32,49,72,0,0,9,4,"1756","87","156","neo mellow, permanent wave, pop rock, post-grunge","Folk/Acoustic, Rock, Metal","Dizzy up the Girl","1998-09-11","04:49","32","72","0","0","50","0","0","-8","B Minor","3","2023-08-14","6Qyc6fS4DsZjB2mRW9DsQs","Warner Records","10A","https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851eda9478c39a21e1cdc6609ca","Low Popularity",5
"Only Love Can Hurt Like This","Paloma Faith",1,2014,1,1,5148,0,"588955257",90,22,"365",0,"114",91,"G#","Major",57,30,89,10,0,33,8,"592","84","91","british soul, talent show","R&B, Pop","A Perfect Contradiction (Outsiders' Expanded Edition)","2014-03-10","03:52","57","89","10","0","30","0","30","-5","G#/A♭ Major","4","2023-08-14","62ke5zFUJN6RvtXZgVH0F8","RCA Records Label","4B","https://p.scdn.co/mp3-preview/0fbdfe1aa9aa59bcbf1e3f556ddcfa488430b1ac?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851c4576f635253db511bb43789","Moderate Popularity",7
"The Scientist","Coldplay",1,2002,8,5,30992,6,"1608164312",124,25,"7,827",1,"0",146,"F","Major",56,21,44,73,0,11,2,"1386","87","146","permanent wave, pop","Rock, Pop","A Rush of Blood to the Head","2002-08-08","05:09","56","44","73","0","21","0","10","-7","F Major","4","2023-08-14","75JFxkI2RXiU7L9VXzMkle","Parlophone Records Limited","7B","https://p.scdn.co/mp3-preview/cb283ce76eeee06a724b942d36a140cc088dd50f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851de09e02aa7febf30b7c02d82","Low Popularity",11
"we fell in love in october","girl in red",1,2018,11,21,6858,0,"723043854",31,21,"15",0,"4",130,"G","Major",57,24,37,11,18,16,3,"246","85","130","bedroom pop, indie pop, norwegian indie, pop, pov: indie","Pop, Electronic","we fell in love in october / October Passed Me By","2018-11-21","03:04","57","37","11","18","24","0","10","-13","G Major","4","2023-08-14","6IPwKM3fUUzlElbvKw2sKl","world in red","9B","https://p.scdn.co/mp3-preview/0415195377d9574c4f552372019421311a34ce55?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851d6839051c4760457e1a60b2a","Moderate Popularity",7
